date,month,ten_day_mean,ten_day_max,ten_day_min,ten_day_swing
2013-01-01,1,-6.1,3.4,-21.7,25.099999999999998
2013-01-02,1,-4.277777777777779,6.8,-21.7,28.5
2013-01-03,1,-3.3777777777777778,6.8,-21.7,28.5
2013-01-04,1,-3.1999999999999997,6.8,-21.7,28.5
2013-01-06,1,-4.51,6.8,-21.7,28.5
2013-01-07,1,-5.2,6.8,-23.8,30.6
2013-01-08,1,-4.03,6.8,-23.8,30.6
2013-01-09,1,-4.82,6.8,-23.8,30.6
2013-01-10,1,-5.277777777777778,6.8,-23.8,30.6
2013-01-13,1,-5.825,6.8,-23.8,30.6
2013-01-14,1,-7.2,3.0,-23.8,26.8
2013-01-15,1,-8.957142857142857,3.0,-23.8,26.8
2013-01-16,1,-10.200000000000001,3.0,-25.6,28.6
2013-01-17,1,-9.928571428571429,3.0,-25.6,28.6
2013-01-18,1,-9.616666666666665,3.0,-25.6,28.6
2013-01-19,1,-8.76,3.0,-25.6,28.6
2013-01-20,1,-9.879999999999999,3.4,-25.6,29.0
2013-01-26,1,-13.289999999999997,3.4,-25.6,29.0
2013-01-27,1,-13.040000000000001,3.4,-25.6,29.0
2013-01-28,1,-12.62,3.4,-24.9,28.299999999999997
2013-01-31,1,-12.216666666666667,3.4,-24.9,28.299999999999997
2013-02-01,2,-11.858333333333334,3.3,-24.9,28.2
2013-02-02,2,-10.975,3.3,-24.9,28.2
2013-02-03,2,-10.133333333333333,3.3,-24.9,28.2
2013-02-04,2,-9.541666666666668,3.3,-24.9,28.2
2013-02-05,2,-9.316666666666668,3.3,-24.9,28.2
2013-02-06,2,-9.641666666666666,3.3,-25.8,29.1
2013-02-07,2,-10.033333333333333,3.3,-29.4,32.699999999999996
2013-02-08,2,-9.258333333333335,3.3,-29.4,32.699999999999996
2013-02-09,2,-9.258333333333333,3.3,-29.4,32.699999999999996
2013-02-10,2,-9.274999999999999,3.3,-29.4,32.699999999999996
2013-02-11,2,-9.108333333333333,3.3,-29.4,32.699999999999996
2013-02-12,2,-9.909090909090908,1.1,-29.4,30.5
2013-02-13,2,-9.872727272727273,1.1,-29.4,30.5
2013-02-14,2,-9.563636363636363,1.1,-29.4,30.5
2013-02-15,2,-9.95,1.1,-29.4,30.5
2013-02-16,2,-10.033333333333333,1.1,-29.4,30.5
2013-02-17,2,-8.555555555555554,1.8,-29.4,31.2
2013-02-18,2,-7.088888888888889,1.8,-29.4,31.2
2013-02-19,2,-6.0,1.8,-19.2,21.0
2013-02-20,2,-6.788888888888888,1.8,-19.2,21.0
2013-02-21,2,-6.311111111111111,1.8,-19.2,21.0
2013-02-22,2,-5.144444444444445,4.3,-16.1,20.400000000000002
2013-02-24,2,-3.4199999999999995,4.9,-12.5,17.4
2013-02-25,2,-3.3299999999999996,4.9,-12.5,17.4
2013-02-28,2,-1.7833333333333334,9.4,-12.5,21.9
2013-03-01,3,-1.6000000000000003,9.4,-12.5,21.9
2013-03-02,3,-1.5833333333333337,9.4,-12.6,22.0
2013-03-03,3,-1.6416666666666668,9.4,-12.6,22.0
2013-03-04,3,-1.2583333333333335,9.4,-12.6,22.0
2013-03-05,3,-1.5583333333333336,9.4,-15.4,24.8
2013-03-06,3,-1.4181818181818182,9.4,-15.4,24.8
2013-03-07,3,-1.75,9.4,-15.4,24.8
2013-03-08,3,-2.1300000000000003,9.4,-15.4,24.8
2013-03-09,3,-2.56,9.4,-15.4,24.8
2013-03-10,3,-2.96,9.4,-15.4,24.8
2013-03-11,3,-4.11,8.5,-15.4,23.9
2013-03-12,3,-5.0600000000000005,4.7,-15.4,20.1
2013-03-13,3,-5.755555555555556,1.4,-15.4,16.8
2013-03-14,3,-5.687500000000001,1.4,-15.4,16.8
2013-03-15,3,-4.5375000000000005,6.6,-15.4,22.0
2013-03-16,3,-4.200000000000001,6.6,-15.4,22.0
2013-03-19,3,-1.83,7.8,-9.9,17.7
2013-03-20,3,-1.25,7.8,-9.9,17.7
2013-03-21,3,-1.0299999999999998,7.8,-9.9,17.7
2013-03-22,3,-1.1300000000000001,7.8,-9.9,17.7
2013-03-23,3,-1.0,7.8,-9.5,17.3
2013-03-26,3,-1.0833333333333333,8.6,-10.5,19.1
2013-03-27,3,-0.8333333333333331,8.6,-10.5,19.1
2013-03-28,3,-0.3333333333333331,8.6,-10.5,19.1
2013-03-29,3,-0.16666666666666652,8.6,-10.5,19.1
2013-03-30,3,-0.09166666666666656,8.6,-10.5,19.1
2013-03-31,3,-0.09999999999999996,8.6,-10.5,19.1
2013-04-01,4,-0.4083333333333332,8.6,-10.5,19.1
2013-04-02,4,-0.09999999999999976,8.6,-10.5,19.1
2013-04-03,4,0.4916666666666667,8.6,-10.5,19.1
2013-04-04,4,1.5249999999999997,15.5,-10.5,26.0
2013-04-05,4,1.9916666666666665,15.5,-10.3,25.8
2013-04-06,4,2.533333333333333,15.5,-10.3,25.8
2013-04-07,4,3.0090909090909093,15.5,-4.5,20.0
2013-04-08,4,3.5545454545454542,17.3,-4.5,21.8
2013-04-09,4,2.9818181818181815,17.3,-7.3,24.6
2013-04-10,4,2.490909090909091,17.3,-9.6,26.9
2013-04-11,4,2.7545454545454544,17.3,-9.6,26.9
2013-04-12,4,3.527272727272727,17.3,-9.6,26.9
2013-04-13,4,4.036363636363636,17.3,-9.6,26.9
2013-04-14,4,4.2,17.3,-9.6,26.9
2013-04-15,4,4.572727272727273,17.3,-9.6,26.9
2013-04-16,4,4.863636363636363,17.8,-9.6,27.4
2013-04-17,4,5.7272727272727275,23.0,-9.6,32.6
2013-04-19,4,7.2250000000000005,23.0,-9.6,32.6
2013-04-20,4,7.883333333333333,25.2,-9.6,34.8
2013-04-21,4,9.541666666666666,25.8,-9.6,35.4
2013-04-22,4,11.016666666666667,26.3,-4.4,30.700000000000003
2013-04-23,4,11.858333333333333,26.3,-4.4,30.700000000000003
2013-04-24,4,12.258333333333333,26.3,-4.4,30.700000000000003
2013-04-25,4,13.066666666666668,26.3,-4.4,30.700000000000003
2013-04-26,4,13.991666666666669,26.3,-1.2,27.5
2013-04-27,4,14.816666666666668,26.4,1.8,24.599999999999998
2013-04-28,4,15.4,26.4,1.8,24.599999999999998
2013-04-29,4,14.950000000000001,26.4,1.8,24.599999999999998
2013-04-30,4,14.625,26.4,1.8,24.599999999999998
2013-05-01,5,13.516666666666666,26.4,0.1,26.299999999999997
2013-05-02,5,12.233333333333333,26.4,-2.7,29.099999999999998
2013-05-03,5,11.241666666666665,26.4,-2.8,29.2
2013-05-04,5,10.833333333333334,26.4,-2.8,29.2
2013-05-05,5,10.383333333333333,26.4,-2.8,29.2
2013-05-06,5,10.016666666666666,26.4,-2.8,29.2
2013-05-07,5,9.874999999999998,26.4,-2.8,29.2
2013-05-08,5,10.216666666666667,26.4,-2.8,29.2
2013-05-09,5,10.633333333333333,28.1,-2.8,30.900000000000002
2013-05-10,5,10.533333333333333,28.1,-2.8,30.900000000000002
2013-05-11,5,11.299999999999999,28.1,-2.8,30.900000000000002
2013-05-12,5,11.475,28.1,-2.8,30.900000000000002
2013-05-13,5,11.749999999999998,28.1,-2.8,30.900000000000002
2013-05-14,5,12.208333333333334,28.1,-2.8,30.900000000000002
2013-05-15,5,12.475000000000001,28.1,-0.5,28.6
2013-05-16,5,12.358333333333334,28.1,-0.9,29.0
2013-05-17,5,12.483333333333336,28.1,-0.9,29.0
2013-05-18,5,13.016666666666671,28.1,-0.9,29.0
2013-05-19,5,13.725,30.7,-0.9,31.599999999999998
2013-05-20,5,14.216666666666667,30.7,-0.9,31.599999999999998
2013-05-21,5,14.225,30.7,-0.9,31.599999999999998
2013-05-22,5,14.016666666666666,30.7,-0.9,31.599999999999998
2013-05-23,5,13.324999999999998,30.7,-0.9,31.599999999999998
2013-05-24,5,13.524999999999999,30.7,-0.9,31.599999999999998
2013-05-25,5,13.816666666666665,30.7,-0.9,31.599999999999998
2013-05-26,5,14.183333333333332,30.7,-0.9,31.599999999999998
2013-05-27,5,14.533333333333331,30.7,-0.9,31.599999999999998
2013-05-28,5,14.991666666666665,30.7,2.1,28.599999999999998
2013-05-29,5,15.399999999999999,30.7,2.1,28.599999999999998
2013-05-30,5,15.383333333333333,30.7,2.1,28.599999999999998
2013-05-31,5,14.883333333333333,30.6,2.1,28.5
2013-06-01,6,14.191666666666665,24.4,2.1,22.299999999999997
2013-06-02,6,13.833333333333334,24.4,2.1,22.299999999999997
2013-06-03,6,13.924999999999999,24.4,2.1,22.299999999999997
2013-06-04,6,14.241666666666665,24.4,2.1,22.299999999999997
2013-06-05,6,14.58333333333333,24.4,2.1,22.299999999999997
2013-06-06,6,14.916666666666664,24.4,4.3,20.099999999999998
2013-06-07,6,15.008333333333331,24.4,4.3,20.099999999999998
2013-06-08,6,14.908333333333333,24.4,3.7,20.7
2013-06-09,6,14.716666666666669,24.4,2.9,21.5
2013-06-10,6,14.908333333333337,27.4,2.9,24.5
2013-06-11,6,15.266666666666667,27.4,2.9,24.5
2013-06-12,6,15.808333333333332,31.1,2.9,28.200000000000003
2013-06-13,6,16.566666666666666,31.1,2.9,28.200000000000003
2013-06-14,6,17.125,31.1,2.9,28.200000000000003
2013-06-15,6,17.71666666666667,31.1,2.9,28.200000000000003
2013-06-16,6,18.10909090909091,31.1,2.9,28.200000000000003
2013-06-17,6,18.481818181818184,31.1,2.9,28.200000000000003
2013-06-18,6,18.745454545454546,31.1,2.9,28.200000000000003
2013-06-19,6,18.990909090909096,31.1,2.9,28.200000000000003
2013-06-20,6,19.354545454545455,31.1,2.9,28.200000000000003
2013-06-21,6,19.72727272727273,31.1,9.5,21.6
2013-06-22,6,19.8,31.1,9.5,21.6
2013-06-23,6,20.045454545454547,31.1,9.5,21.6
2013-06-24,6,19.863636363636367,30.0,9.5,20.5
2013-06-25,6,19.58181818181818,30.1,9.5,20.6
2013-06-26,6,19.481818181818184,30.1,9.5,20.6
2013-06-28,6,19.783333333333335,30.1,9.5,20.6
2013-06-29,6,19.891666666666666,30.1,9.5,20.6
2013-06-30,6,20.175,30.1,9.5,20.6
2013-07-01,7,20.545454545454547,30.1,9.6,20.5
2013-07-02,7,20.918181818181818,30.1,10.7,19.400000000000002
2013-07-03,7,21.40909090909091,31.1,10.7,20.400000000000002
2013-07-04,7,21.700000000000003,31.3,10.7,20.6
2013-07-05,7,21.818181818181817,32.6,10.7,21.900000000000002
2013-07-06,7,22.327272727272728,32.6,10.7,21.900000000000002
2013-07-07,7,22.763636363636365,32.6,10.7,21.900000000000002
2013-07-08,7,23.236363636363635,33.1,10.7,22.400000000000002
2013-07-09,7,22.999999999999996,33.1,10.7,22.400000000000002
2013-07-10,7,22.345454545454544,33.1,9.1,24.0
2013-07-11,7,22.036363636363635,33.1,9.1,24.0
2013-07-13,7,21.349999999999998,33.1,8.8,24.3
2013-07-14,7,20.96666666666667,33.1,6.6,26.5
2013-07-15,7,20.491666666666667,33.1,6.6,26.5
2013-07-16,7,20.108333333333334,33.1,6.6,26.5
2013-07-17,7,19.33333333333334,33.1,6.6,26.5
2013-07-18,7,18.450000000000003,33.1,6.6,26.5
2013-07-19,7,17.650000000000002,33.1,6.6,26.5
2013-07-20,7,16.741666666666667,26.1,6.6,19.5
2013-07-21,7,16.5,26.1,6.6,19.5
2013-07-22,7,16.545454545454547,26.1,6.6,19.5
2013-07-23,7,16.409090909090903,26.1,6.6,19.5
2013-07-24,7,16.090909090909086,26.1,6.6,19.5
2013-07-25,7,16.063636363636363,26.1,6.6,19.5
2013-07-26,7,16.245454545454546,26.1,7.5,18.6
2013-07-27,7,16.454545454545457,25.2,7.5,17.7
2013-07-28,7,16.42727272727273,25.2,7.5,17.7
2013-07-29,7,16.71818181818182,25.2,7.5,17.7
2013-07-30,7,16.654545454545453,25.2,7.5,17.7
2013-07-31,7,16.44545454545454,25.2,6.5,18.7
2013-08-02,8,16.258333333333333,25.2,6.5,18.7
2013-08-03,8,16.14166666666667,25.2,6.5,18.7
2013-08-04,8,15.991666666666667,25.2,6.5,18.7
2013-08-05,8,16.033333333333335,25.2,6.4,18.799999999999997
2013-08-06,8,16.150000000000002,26.0,6.4,19.6
2013-08-07,8,16.19166666666667,26.8,6.4,20.4
2013-08-08,8,16.01666666666667,26.8,6.4,20.4
2013-08-09,8,16.1,27.7,6.4,21.299999999999997
2013-08-10,8,16.400000000000002,29.7,6.4,23.299999999999997
2013-08-11,8,16.866666666666664,29.7,6.4,23.299999999999997
2013-08-12,8,16.98333333333333,29.7,6.4,23.299999999999997
2013-08-13,8,17.016666666666666,29.7,5.8,23.9
2013-08-14,8,17.245454545454546,29.7,5.8,23.9
2013-08-15,8,17.44,29.7,5.8,23.9
2013-08-16,8,18.14,29.7,5.8,23.9
2013-08-17,8,18.81,29.7,5.8,23.9
2013-08-18,8,19.31,29.7,5.8,23.9
2013-08-19,8,19.46,29.7,5.8,23.9
2013-08-20,8,19.59,29.7,5.8,23.9
2013-08-21,8,19.644444444444446,29.7,5.8,23.9
2013-08-22,8,19.166666666666668,29.4,5.8,23.599999999999998
2013-08-23,8,19.062500000000004,29.4,5.8,23.599999999999998
2013-08-24,8,18.700000000000003,29.4,5.8,23.599999999999998
2013-08-27,8,16.89,29.4,1.6,27.799999999999997
2013-08-28,8,15.809999999999999,29.4,1.6,27.799999999999997
2013-08-29,8,14.89,29.1,1.6,27.5
2013-08-30,8,14.98,29.9,1.6,28.299999999999997
2013-08-31,8,15.12,29.9,1.6,28.299999999999997
2013-09-02,9,14.19090909090909,29.9,1.6,28.299999999999997
2013-09-04,9,13.066666666666668,29.9,0.3,29.599999999999998
2013-09-05,9,12.466666666666669,29.9,-0.3,30.2
2013-09-06,9,12.316666666666668,29.9,-1.4,31.299999999999997
2013-09-07,9,12.408333333333333,29.9,-1.4,31.299999999999997
2013-09-08,9,12.41666666666667,29.9,-1.4,31.299999999999997
2013-09-09,9,13.0,29.9,-1.4,31.299999999999997
2013-09-10,9,13.033333333333333,29.9,-1.4,31.299999999999997
2013-09-11,9,11.741666666666667,25.1,-1.4,26.5
2013-09-12,9,10.566666666666666,22.7,-1.4,24.099999999999998
2013-09-13,9,9.916666666666666,22.7,-1.4,24.099999999999998
2013-09-14,9,10.2,22.7,-1.4,24.099999999999998
2013-09-15,9,10.39090909090909,22.7,-1.4,24.099999999999998
2013-09-16,9,10.745454545454544,22.7,-1.4,24.099999999999998
2013-09-17,9,11.390909090909089,22.7,-1.4,24.099999999999998
2013-09-18,9,12.154545454545454,22.7,-1.3,24.0
2013-09-19,9,12.345454545454546,22.7,-1.3,24.0
2013-09-20,9,12.4,22.7,-1.3,24.0
2013-09-21,9,11.97272727272727,22.7,-1.3,24.0
2013-09-22,9,11.836363636363638,22.7,-1.3,24.0
2013-09-23,9,12.4,22.7,-1.3,24.0
2013-09-24,9,13.081818181818182,22.7,-1.3,24.0
2013-09-25,9,13.563636363636364,22.7,0.5,22.2
2013-09-27,9,13.083333333333334,22.7,1.3,21.4
2013-09-28,9,12.841666666666667,22.7,1.3,21.4
2013-09-29,9,12.641666666666666,22.7,0.4,22.3
2013-09-30,9,12.299999999999999,23.5,0.4,23.1
2013-10-01,10,12.233333333333333,23.7,0.4,23.3
2013-10-02,10,11.808333333333332,23.7,0.4,23.3
2013-10-03,10,11.458333333333334,23.7,0.4,23.3
2013-10-04,10,11.308333333333332,23.7,0.4,23.3
2013-10-05,10,11.533333333333331,23.7,0.4,23.3
2013-10-06,10,11.233333333333334,23.7,0.4,23.3
2013-10-07,10,10.85,23.7,0.4,23.3
2013-10-08,10,10.575,23.7,0.4,23.3
2013-10-09,10,10.4,23.7,0.4,23.3
2013-10-10,10,10.125,23.7,0.4,23.3
2013-10-11,10,9.508333333333333,23.7,-0.5,24.2
2013-10-12,10,8.666666666666666,23.7,-2.8,26.5
2013-10-13,10,7.675000000000001,20.1,-2.8,22.900000000000002
2013-10-14,10,6.991666666666667,20.1,-2.8,22.900000000000002
2013-10-15,10,6.541666666666667,20.1,-2.8,22.900000000000002
2013-10-16,10,5.916666666666667,20.1,-2.8,22.900000000000002
2013-10-17,10,4.575,13.6,-6.4,20.0
2013-10-18,10,3.508333333333334,12.8,-9.2,22.0
2013-10-19,10,2.975,10.6,-9.2,19.799999999999997
2013-10-20,10,3.1,14.0,-9.2,23.2
2013-10-21,10,3.4333333333333336,14.9,-9.2,24.1
2013-10-22,10,2.858333333333333,14.9,-9.2,24.1
2013-10-23,10,2.4166666666666665,14.9,-9.2,24.1
2013-10-24,10,2.05,14.9,-9.2,24.1
2013-10-25,10,2.358333333333333,14.9,-9.2,24.1
2013-10-26,10,2.9,14.9,-9.2,24.1
2013-10-27,10,2.7833333333333337,14.9,-9.2,24.1
2013-10-28,10,2.6166666666666667,14.9,-9.2,24.1
2013-10-29,10,2.8666666666666667,14.9,-9.2,24.1
2013-10-30,10,3.25,14.9,-8.0,22.9
2013-10-31,10,3.309090909090909,14.9,-8.0,22.9
2013-11-01,11,1.7363636363636368,14.9,-13.0,27.9
2013-11-02,11,0.3181818181818181,12.2,-13.4,25.6
2013-11-03,11,0.4454545454545455,12.2,-13.4,25.6
2013-11-04,11,0.9363636363636364,12.2,-13.4,25.6
2013-11-05,11,1.5818181818181822,12.2,-13.4,25.6
2013-11-06,11,2.1454545454545455,13.5,-13.4,26.9
2013-11-07,11,1.8272727272727272,13.5,-13.4,26.9
2013-11-08,11,1.0636363636363635,13.5,-13.4,26.9
2013-11-09,11,0.5636363636363634,13.5,-13.4,26.9
2013-11-10,11,0.3636363636363636,13.5,-13.4,26.9
2013-11-12,11,-0.5666666666666668,13.5,-14.4,27.9
2013-11-13,11,-0.9583333333333334,13.5,-17.2,30.7
2013-11-14,11,-1.258333333333333,13.5,-17.2,30.7
2013-11-15,11,-1.5666666666666667,13.5,-17.2,30.7
2013-11-16,11,-2.3000000000000003,13.5,-17.2,30.7
2013-11-17,11,-3.7583333333333333,13.5,-18.5,32.0
2013-11-18,11,-5.841666666666668,12.1,-22.1,34.2
2013-11-19,11,-6.875,5.1,-22.1,27.200000000000003
2013-11-20,11,-6.3999999999999995,5.1,-22.1,27.200000000000003
2013-11-21,11,-6.058333333333333,5.1,-22.1,27.200000000000003
2013-11-22,11,-6.441666666666666,5.1,-22.1,27.200000000000003
2013-11-23,11,-6.5666666666666655,1.2,-22.1,23.3
2013-11-24,11,-5.474999999999999,8.9,-22.1,31.0
2013-11-25,11,-4.5249999999999995,8.9,-22.1,31.0
2013-11-26,11,-4.199999999999999,8.9,-22.1,31.0
2013-11-27,11,-4.699999999999999,8.9,-22.1,31.0
2013-11-28,11,-4.499999999999999,8.9,-22.1,31.0
2013-11-29,11,-4.066666666666667,8.9,-22.1,31.0
2013-11-30,11,-4.133333333333334,8.9,-22.5,31.4
2013-12-01,12,-4.866666666666666,8.9,-24.3,33.2
2013-12-02,12,-6.408333333333334,8.9,-27.0,35.9
2013-12-03,12,-8.066666666666666,8.9,-27.0,35.9
2013-12-04,12,-9.100000000000001,8.9,-27.0,35.9
2013-12-05,12,-10.774999999999999,8.9,-27.7,36.6
2013-12-06,12,-12.516666666666666,0.5,-27.7,28.2
2013-12-07,12,-12.933333333333332,-0.8,-27.7,26.9
2013-12-08,12,-12.766666666666667,-0.2,-27.7,27.5
2013-12-09,12,-12.525,-0.2,-27.7,27.5
2013-12-10,12,-12.683333333333335,-0.2,-27.7,27.5
2013-12-11,12,-12.575000000000003,-0.2,-27.7,27.5
2013-12-12,12,-12.600000000000001,-0.2,-27.7,27.5
2013-12-13,12,-13.125,-0.2,-27.9,27.7
2013-12-14,12,-13.283333333333333,-0.2,-31.6,31.400000000000002
2013-12-15,12,-12.158333333333333,-0.2,-31.6,31.400000000000002
2013-12-16,12,-11.266666666666667,-0.2,-31.6,31.400000000000002
2013-12-17,12,-9.558333333333334,0.8,-31.6,32.4
2013-12-18,12,-8.866666666666669,1.9,-31.6,33.5
2013-12-19,12,-9.891666666666667,1.9,-31.6,33.5
2013-12-20,12,-10.616666666666667,1.9,-31.6,33.5
2013-12-21,12,-11.875000000000002,1.9,-31.6,33.5
2013-12-22,12,-13.391666666666667,1.9,-31.6,33.5
2013-12-23,12,-14.933333333333335,1.9,-33.7,35.6
2013-12-24,12,-14.491666666666667,1.9,-33.7,35.6
2013-12-25,12,-12.899999999999999,1.9,-33.7,35.6
2013-12-26,12,-12.191666666666665,1.9,-33.7,35.6
2013-12-27,12,-13.1,1.9,-33.7,35.6
2013-12-28,12,-13.683333333333335,1.9,-33.7,35.6
2013-12-29,12,-14.658333333333333,1.9,-33.7,35.6
2013-12-30,12,-14.458333333333334,1.2,-33.7,34.900000000000006
2013-12-31,12,-14.036363636363637,1.2,-33.7,34.900000000000006
2014-01-01,1,-13.036363636363637,1.2,-33.7,34.900000000000006
2014-01-02,1,-11.136363636363637,4.6,-33.7,38.300000000000004
2014-01-03,1,-9.154545454545456,4.6,-33.7,38.300000000000004
2014-01-04,1,-7.227272727272728,4.6,-21.3,25.9
2014-01-05,1,-6.954545454545454,4.6,-21.3,25.9
2014-01-06,1,-7.290909090909091,4.6,-21.3,25.9
2014-01-07,1,-6.972727272727273,4.6,-21.3,25.9
2014-01-08,1,-5.909090909090909,4.6,-18.7,23.299999999999997
2014-01-09,1,-6.454545454545453,4.6,-27.3,31.9
2014-01-10,1,-7.7272727272727275,4.6,-33.7,38.300000000000004
2014-01-12,1,-11.025,4.6,-37.3,41.9
2014-01-13,1,-12.883333333333335,4.6,-37.3,41.9
2014-01-14,1,-14.4,3.1,-37.3,40.4
2014-01-15,1,-16.091666666666665,-0.6,-37.3,36.699999999999996
2014-01-16,1,-16.933333333333334,-1.3,-37.3,36.0
2014-01-17,1,-17.766666666666666,-1.3,-37.3,36.0
2014-01-18,1,-18.474999999999998,-2.3,-37.3,35.0
2014-01-19,1,-18.641666666666666,-2.3,-37.3,35.0
2014-01-20,1,-18.816666666666666,-3.8,-37.3,33.5
2014-01-21,1,-18.141666666666666,-2.3,-37.3,35.0
2014-01-22,1,-16.825,-2.3,-37.3,35.0
2014-01-23,1,-15.883333333333333,-2.3,-35.5,33.2
2014-01-24,1,-14.524999999999999,-2.3,-35.5,33.2
2014-01-25,1,-13.808333333333332,-2.3,-33.0,30.7
2014-01-26,1,-13.85,-2.3,-33.0,30.7
2014-01-27,1,-13.033333333333333,-2.3,-26.4,24.099999999999998
2014-01-28,1,-12.983333333333333,-2.3,-26.4,24.099999999999998
2014-01-29,1,-12.933333333333332,-2.3,-26.4,24.099999999999998
2014-01-30,1,-12.891666666666667,-2.3,-26.4,24.099999999999998
2014-01-31,1,-13.700000000000003,-2.3,-28.9,26.599999999999998
2014-02-01,2,-14.575000000000003,-2.3,-29.8,27.5
2014-02-02,2,-14.366666666666669,-1.1,-29.8,28.7
2014-02-03,2,-14.066666666666668,-1.1,-29.8,28.7
2014-02-04,2,-13.899999999999999,-1.1,-29.8,28.7
2014-02-05,2,-14.566666666666665,-1.1,-29.8,28.7
2014-02-06,2,-14.816666666666668,-1.1,-29.8,28.7
2014-02-07,2,-13.841666666666669,-1.1,-29.8,28.7
2014-02-08,2,-13.141666666666667,3.0,-29.8,32.8
2014-02-09,2,-12.641666666666666,3.0,-29.8,32.8
2014-02-10,2,-11.224999999999996,3.0,-29.8,32.8
2014-02-11,2,-10.375,3.0,-29.8,32.8
2014-02-12,2,-9.291666666666666,3.0,-29.8,32.8
2014-02-13,2,-8.858333333333333,3.0,-29.1,32.1
2014-02-14,2,-9.358333333333333,3.0,-29.1,32.1
2014-02-15,2,-10.116666666666665,3.0,-29.1,32.1
2014-02-16,2,-10.458333333333334,3.0,-29.1,32.1
2014-02-17,2,-10.958333333333336,3.0,-32.8,35.8
2014-02-18,2,-10.341666666666669,3.0,-32.8,35.8
2014-02-19,2,-11.316666666666668,3.0,-32.8,35.8
2014-02-20,2,-12.774999999999999,3.0,-32.8,35.8
2014-02-21,2,-13.75,3.0,-32.8,35.8
2014-02-22,2,-15.125,-1.2,-32.8,31.599999999999998
2014-02-23,2,-16.125,-4.9,-32.8,27.9
2014-02-24,2,-15.983333333333333,2.5,-32.8,35.3
2014-02-25,2,-15.433333333333332,2.5,-32.8,35.3
2014-02-26,2,-15.241666666666665,2.5,-32.8,35.3
2014-02-27,2,-13.966666666666663,3.6,-32.8,36.4
2014-02-28,2,-12.225,6.6,-32.8,39.4
2014-03-01,3,-11.008333333333333,6.6,-27.6,34.2
2014-03-02,3,-11.458333333333334,6.6,-27.6,34.2
2014-03-03,3,-10.158333333333333,6.6,-27.6,34.2
2014-03-04,3,-8.958333333333332,6.6,-27.6,34.2
2014-03-05,3,-8.908333333333333,6.6,-27.6,34.2
2014-03-06,3,-8.983333333333333,6.6,-27.6,34.2
2014-03-07,3,-7.95,6.6,-27.6,34.2
2014-03-08,3,-7.433333333333334,6.6,-27.6,34.2
2014-03-09,3,-6.925000000000001,6.6,-27.6,34.2
2014-03-10,3,-6.183333333333333,6.6,-27.6,34.2
2014-03-11,3,-6.391666666666666,6.6,-27.6,34.2
2014-03-12,3,-7.8999999999999995,6.1,-27.6,33.7
2014-03-13,3,-8.516666666666667,6.1,-27.6,33.7
2014-03-14,3,-8.033333333333333,6.1,-27.6,33.7
2014-03-15,3,-9.183333333333334,3.6,-27.6,31.200000000000003
2014-03-16,3,-9.525,3.6,-27.6,31.200000000000003
2014-03-17,3,-8.727272727272727,3.6,-27.6,31.200000000000003
2014-03-18,3,-7.136363636363637,3.6,-25.1,28.700000000000003
2014-03-19,3,-6.645454545454545,8.3,-25.1,33.400000000000006
2014-03-20,3,-6.527272727272727,11.4,-25.1,36.5
2014-03-21,3,-6.072727272727272,11.4,-25.1,36.5
2014-03-22,3,-6.000000000000001,11.4,-25.1,36.5
2014-03-23,3,-5.827272727272727,11.4,-25.1,36.5
2014-03-24,3,-4.245454545454546,11.4,-25.1,36.5
2014-03-25,3,-3.0818181818181825,11.4,-23.8,35.2
2014-03-26,3,-2.272727272727273,11.4,-23.8,35.2
2014-03-27,3,-0.5272727272727272,11.4,-22.4,33.8
2014-03-29,3,0.8166666666666668,11.4,-11.0,22.4
2014-03-30,3,0.8,11.4,-11.0,22.4
2014-03-31,3,0.76,11.4,-11.0,22.4
2014-04-01,4,0.9800000000000001,10.2,-11.0,21.2
2014-04-02,4,0.6555555555555557,10.2,-11.0,21.2
2014-04-03,4,1.7777777777777777,15.9,-11.0,26.9
2014-04-04,4,1.5111111111111108,15.9,-11.0,26.9
2014-04-05,4,0.4999999999999998,15.9,-14.4,30.3
2014-04-06,4,0.95,15.9,-14.4,30.3
2014-04-07,4,1.242857142857143,15.9,-14.4,30.3
2014-04-08,4,1.2999999999999996,15.9,-14.4,30.3
2014-04-09,4,1.614285714285714,16.0,-14.4,30.4
2014-04-12,4,3.4000000000000004,19.3,-14.4,33.7
2014-04-14,4,3.56,19.3,-14.4,33.7
2014-04-15,4,3.21,19.3,-14.4,33.7
2014-04-16,4,4.279999999999999,19.3,-14.4,33.7
2014-04-19,4,6.016666666666667,19.3,-6.1,25.4
2014-04-20,4,6.425000000000001,19.3,-6.1,25.4
2014-04-21,4,6.5,19.3,-6.1,25.4
2014-04-22,4,6.041666666666667,15.1,-6.1,21.2
2014-04-23,4,5.933333333333334,15.1,-6.1,21.2
2014-04-24,4,6.2,15.1,-6.1,21.2
2014-04-25,4,6.525000000000001,15.1,-1.9,17.0
2014-04-26,4,6.675000000000001,16.6,-1.9,18.5
2014-04-27,4,7.408333333333332,21.6,-1.9,23.5
2014-04-28,4,7.5,21.6,-1.9,23.5
2014-04-29,4,7.781818181818181,21.6,-1.9,23.5
2014-04-30,4,7.963636363636363,21.6,-1.9,23.5
2014-05-01,5,8.563636363636364,22.5,-1.9,24.4
2014-05-02,5,9.336363636363638,23.9,-1.9,25.799999999999997
